year,adjShk,adjError,shk,shkError
2007.6389, 0.550881, 0.00237930, 0.364358, 0.000680277
2007.6389, 0.538572, 0.00235292, 0.360813, 0.000682517
2007.7099, 0.582938, 0.00283876, 0.373359, 0.000783082
2007.7099, 0.578477, 0.00283593, 0.372126, 0.000786101
2007.7675, 0.565777, 0.00220057, 0.368581, 0.000618566
2007.7675, 0.580965, 0.00209436, 0.372814, 0.000578960
2007.8136, 0.572797, 0.00174910, 0.370546, 0.000487867
2007.8136, 0.559990, 0.00209042, 0.366948, 0.000591470
2007.9448, 0.591922, 0.00162703, 0.375825, 0.000444545
2007.9448, 0.606871, 0.00163919, 0.379878, 0.000440965
2007.9672, 0.582141, 0.00181970, 0.373139, 0.000502411
2007.9672, 0.568805, 0.00210309, 0.369430, 0.000589183
2008.0050, 0.606547, 0.00167656, 0.379791, 0.000451150
2008.0050, 0.599718, 0.00163627, 0.377947, 0.000443436
2008.1610, 0.546336, 0.00256327, 0.363055, 0.000736742
2008.1610, 0.534015, 0.00251377, 0.359488, 0.000733171
2008.2074, 0.487616, 0.00220674, 0.345554, 0.000682914
2008.2074, 0.491274, 0.00254464, 0.346683, 0.000783615
2008.5206, 0.496444, 0.00400549, 0.348270, 0.001225010
2008.5206, 0.492144, 0.00398454, 0.346951, 0.001225590
2008.5699, 0.545360, 0.00290316, 0.362774, 0.000835400
2008.5699, 0.541798, 0.00288492, 0.361747, 0.000833644
2008.5699, 0.543574, 0.00290397, 0.362260, 0.000837393
2008.6026, 0.502292, 0.00520512, 0.350051, 0.001579670
2008.6026, 0.518892, 0.00678807, 0.355036, 0.002016860
2008.6302, 0.467239, 0.00192925, 0.339158, 0.000614248
2008.6302, 0.464875, 0.00176868, 0.338405, 0.000565051
2008.6844, 0.478102, 0.00636473, 0.342590, 0.001995590
2008.6844, 0.495423, 0.00303742, 0.347957, 0.000930193
2008.7064, 0.489642, 0.00215545, 0.346180, 0.000665232
2008.7064, 0.486534, 0.00214043, 0.345219, 0.000663366
2008.7336, 0.464570, 0.00190505, 0.338307, 0.000608892
2008.7336, 0.468107, 0.00190687, 0.339435, 0.000606387
2008.7583, 0.453122, 0.00270280, 0.334617, 0.000878553
2008.7583, 0.461050, 0.00278951, 0.337179, 0.000896142
2008.7802, 0.494598, 0.00526777, 0.347704, 0.001614980
2008.7802, 0.492067, 0.00552201, 0.346927, 0.001698680
2008.8159, 0.554434, 0.01680170, 0.365371, 0.004784070
2008.8159, 0.451584, 0.00901566, 0.334117, 0.002937290
2008.8379, 0.507140, 0.00326207, 0.351518, 0.000983802
2008.8379, 0.539738, 0.00350931, 0.361151, 0.001016520
2008.8596, 0.471664, 0.00208190, 0.340563, 0.000658676
2008.8596, 0.481601, 0.00215325, 0.343685, 0.000671857
2008.9035, 0.497987, 0.00284544, 0.348741, 0.000868429
2008.9036, 0.500508, 0.00289962, 0.349509, 0.000882072
2008.9198, 0.464133, 0.00221163, 0.338167, 0.000707332
2008.9198, 0.457407, 0.00216694, 0.336006, 0.000699885
2008.9413, 0.481031, 0.00489777, 0.343507, 0.001529410
2008.9413, 0.470908, 0.00755069, 0.340323, 0.002391520
2009.0346, 0.457234, 0.00208002, 0.335950, 0.000671991
2009.0346, 0.455456, 0.00203164, 0.335374, 0.000658083
2009.0537, 0.437176, 0.00257105, 0.329371, 0.000856406
2009.0537, 0.441517, 0.00261474, 0.330812, 0.000865077
2009.0838, 0.457224, 0.00214821, 0.335946, 0.000694038
2009.0838, 0.449506, 0.00216246, 0.333438, 0.000706729
2009.1056, 0.491879, 0.00220168, 0.346869, 0.000677445
2009.1056, 0.477555, 0.00213233, 0.342419, 0.000669093
2009.2395, 0.503685, 0.00450420, 0.350474, 0.001364490
2009.2395, 0.484634, 0.00255248, 0.344629, 0.000793126
2009.4981, 0.549470, 0.00267142, 0.363954, 0.000765017
2009.4981, 0.544679, 0.00282952, 0.362578, 0.000814847
2009.6566, 0.542736, 0.00247654, 0.362018, 0.000714848
2009.6566, 0.541148, 0.00289211, 0.361559, 0.000836330
2009.7351, 0.612059, 0.00285366, 0.381270, 0.000763607
2009.7351, 0.603087, 0.00291860, 0.378858, 0.000788195
2009.7899, 0.526855, 0.00321770, 0.357390, 0.000946665
2009.7899, 0.519448, 0.00314984, 0.355201, 0.000935231
2009.8398, 0.603373, 0.00382558, 0.378935, 0.001032810
2009.8398, 0.599197, 0.00341019, 0.377806, 0.000924641
2009.8398, 0.594308, 0.00377756, 0.376476, 0.001029530
2009.8531, 0.535642, 0.00258061, 0.359962, 0.000751191
2009.8531, 0.525263, 0.00248632, 0.356921, 0.000732941
2009.9051, 0.580816, 0.00258714, 0.372773, 0.000715330
2009.9052, 0.590937, 0.00266033, 0.375556, 0.000727638
2009.9596, 0.613651, 0.00353304, 0.381696, 0.000943875
2009.9596, 0.628122, 0.00342473, 0.385534, 0.000901833
2009.9760, 0.584556, 0.00343347, 0.373805, 0.000945480
2009.9760, 0.587424, 0.00327215, 0.374593, 0.000898295
2009.9760, 0.581342, 0.00400287, 0.372918, 0.001106110
2010.0198, 0.670180, 0.00298986, 0.396389, 0.000756695
2010.0198, 0.675423, 0.00297919, 0.397713, 0.000750422
2010.1513, 0.631276, 0.00798693, 0.386363, 0.002096710
2010.1513, 0.656051, 0.00795189, 0.392790, 0.002038810
2010.2170, 0.673403, 0.00311288, 0.397204, 0.000785515
2010.2170, 0.665552, 0.00319749, 0.395216, 0.000812654
2010.2170, 0.664156, 0.00320941, 0.394860, 0.000816724
2010.6003, 0.612907, 0.00290707, 0.381497, 0.000777212
2010.6003, 0.613554, 0.00271946, 0.381670, 0.000726575
2010.6468, 0.595861, 0.00611281, 0.376900, 0.001663250
2010.6468, 0.585322, 0.00626725, 0.374016, 0.001724430
2010.6468, 0.599630, 0.00575688, 0.377923, 0.001560230
2010.7043, 0.599522, 0.00526318, 0.377894, 0.001426620
2010.7043, 0.598255, 0.00583777, 0.377550, 0.001584440
2010.7180, 0.609539, 0.00568852, 0.380595, 0.001526060
2010.7180, 0.599790, 0.00555754, 0.377966, 0.001505960
2010.7837, 0.560494, 0.00253046, 0.367091, 0.000715553
2010.7974, 0.579822, 0.00305855, 0.372498, 0.000846561
2010.7974, 0.565671, 0.00293705, 0.368551, 0.000825689
2010.8987, 0.635076, 0.00308907, 0.387359, 0.000807945
2010.8987, 0.633907, 0.00312540, 0.387053, 0.000818368
2010.9452, 0.525372, 0.00325838, 0.356953, 0.000960371
2010.9452, 0.511731, 0.00267032, 0.352899, 0.000800609
2010.9945, 0.589803, 0.01048480, 0.375246, 0.002871100
2010.9945, 0.540194, 0.01173290, 0.361283, 0.003396810
2011.0164, 0.602746, 0.00318533, 0.378766, 0.000860515
2011.0164, 0.580319, 0.00300732, 0.372635, 0.000831935
2011.0767, 0.599485, 0.00709945, 0.377884, 0.001924400
2011.0767, 0.583306, 0.00612491, 0.373460, 0.001688940
2011.1506, 0.571646, 0.00715408, 0.370225, 0.001997940
2011.1506, 0.553386, 0.00611550, 0.365073, 0.001743400
2011.1807, 0.601265, 0.00344640, 0.378366, 0.000932452
2011.1807, 0.598295, 0.00297397, 0.377561, 0.000807138
2011.5448, 0.500012, 0.00587878, 0.349358, 0.001789440
2011.5448, 0.510027, 0.00525320, 0.352387, 0.001578410
2011.6626, 0.465543, 0.00404933, 0.338618, 0.001292450
2011.6626, 0.469357, 0.00395742, 0.339832, 0.001256200
2011.7091, 0.477584, 0.00321725, 0.342428, 0.001009460
2011.7091, 0.480000, 0.00352445, 0.343185, 0.001102150
2011.8652, 0.477311, 0.00258785, 0.342342, 0.000812301
2011.8652, 0.474057, 0.00257659, 0.341319, 0.000812438
2011.9230, 0.422773, 0.00207186, 0.324518, 0.000706286
2011.9227, 0.447103, 0.00221553, 0.332652, 0.000726741
2011.9227, 0.445124, 0.00223221, 0.332002, 0.000734416
2011.9473, 0.421290, 0.00211801, 0.324011, 0.000723789
2011.9473, 0.413820, 0.00204568, 0.321443, 0.000707861
2011.9719, 0.444111, 0.00407836, 0.331668, 0.001343910
2011.9719, 0.447992, 0.00513737, 0.332943, 0.001682840
2012.0322, 0.445845, 0.00223053, 0.332239, 0.000733041
2012.0322, 0.448378, 0.00225362, 0.333070, 0.000737791
2012.0705, 0.432906, 0.00334416, 0.327943, 0.001121470
2012.0705, 0.434376, 0.00330627, 0.328436, 0.001106160
2012.5168, 0.511022, 0.00239629, 0.352686, 0.000719108
2012.5168, 0.515384, 0.00242820, 0.353991, 0.000724646
2012.6016, 0.571303, 0.00348139, 0.370129, 0.000972623
2012.6016, 0.557759, 0.00338265, 0.366316, 0.000959512
2012.6701, 0.530928, 0.00323141, 0.358586, 0.000945997
2012.6701, 0.540072, 0.00325906, 0.361248, 0.000943659
2012.7796, 0.607890, 0.00442272, 0.380152, 0.001188490
2012.7796, 0.606353, 0.00419787, 0.379739, 0.001129820
2012.9110, 0.712524, 0.00382361, 0.406907, 0.000932539
2012.9110, 0.718875, 0.00382146, 0.408452, 0.000927048
2012.9411, 0.681243, 0.00328907, 0.399175, 0.000824175
2012.9932, 0.716802, 0.02607730, 0.407949, 0.006337220
2012.9932, 0.690262, 0.02204510, 0.401426, 0.005480350
2013.0835, 0.669683, 0.00348261, 0.396263, 0.000881777
2013.0835, 0.679486, 0.00346869, 0.398735, 0.000870549
